ToyCar
section,AUC(Source),AUC(Target),pAUC
00,0.4642,0.4642,0.48
01,0.48860000000000003,0.5162,0.49473684210526314
02,0.6288,0.3756,0.5052631578947369
arithmetic mean,0.5272,0.45199999999999996,0.49333333333333335
harmonic mean,0.5180239002308141,0.4441888347264102,0.4931147540983607

ToyTrain
section,AUC(Source),AUC(Target),pAUC
00,0.5022,0.5664,0.4963157894736842
01,0.45780000000000004,0.5796000000000001,0.5021052631578947
02,0.6060000000000001,0.4988,0.5126315789473684
arithmetic mean,0.522,0.5482666666666667,0.5036842105263157
harmonic mean,0.5149539583195654,0.5458837010411172,0.5035940519591484

bearing
section,AUC(Source),AUC(Target),pAUC
00,0.5754,0.4718,0.5294736842105263
01,0.555,0.4884,0.5347368421052632
02,0.5715999999999999,0.5608,0.5173684210526316
arithmetic mean,0.5673333333333334,0.507,0.5271929824561403
harmonic mean,0.567193697450948,0.5041837901287656,0.5270920640021343

fan
section,AUC(Source),AUC(Target),pAUC
00,0.5676,0.317,0.49105263157894735
01,0.5459999999999999,0.44299999999999995,0.5136842105263157
02,0.42700000000000005,0.448,0.48157894736842105
arithmetic mean,0.5135333333333333,0.4026666666666667,0.49543859649122807
harmonic mean,0.5054567175033688,0.39246193994314954,0.49507682159050953

gearbox
section,AUC(Source),AUC(Target),pAUC
00,0.5078,0.4984,0.5136842105263157
01,0.4188,0.5158,0.5047368421052632
02,0.5024,0.5873999999999999,0.48368421052631577
arithmetic mean,0.47633333333333333,0.5338666666666666,0.5007017543859649
harmonic mean,0.4726270410165593,0.5312015462002463,0.5003822590763741

slider
section,AUC(Source),AUC(Target),pAUC
00,0.6016,0.509,0.52
01,0.5634,0.4026,0.48210526315789476
02,0.8134,0.3958,0.58
arithmetic mean,0.6594666666666668,0.43579999999999997,0.5273684210526316
harmonic mean,0.6428691720393458,0.4301062914509678,0.5243425447919831

valve
section,AUC(Source),AUC(Target),pAUC
00,0.5384,0.4204,0.49105263157894735
01,0.5172000000000001,0.5214000000000001,0.5047368421052632
02,0.5004,0.3218,0.4921052631578947
arithmetic mean,0.5186666666666667,0.4212,0.4959649122807018
harmonic mean,0.5182023392989006,0.4051797928648866,0.4958876372010804

(A)Total Average,0.5406,0.4715,0.5062
(H)Total Average,0.5342,0.4647,0.5056
