ToyCar
section,AUC(Source),AUC(Target),pAUC
00,0.8602,0.5731999999999999,0.4884210526315789
01,0.8464,0.7851999999999999,0.5952631578947368
02,1.0,0.8528,0.6973684210526316
arithmetic mean,0.9022,0.7370666666666666,0.5936842105263158
harmonic mean,0.8971305751546261,0.715860518512867,0.5812483106558878

ToyTrain
section,AUC(Source),AUC(Target),pAUC
00,0.8194,0.2962,0.5021052631578947
01,0.9334,0.5156000000000001,0.5989473684210527
02,0.9892000000000001,0.7227999999999999,0.7052631578947368
arithmetic mean,0.914,0.5115333333333333,0.6021052631578948
harmonic mean,0.9083545544260553,0.4478217646286272,0.5906534425606338

bearing
section,AUC(Source),AUC(Target),pAUC
00,0.7188,0.7512,0.49526315789473685
01,0.33380000000000004,0.985,0.508421052631579
02,0.752,0.8864,0.6689473684210526
arithmetic mean,0.6015333333333334,0.8742,0.5575438596491228
harmonic mean,0.5247690397268171,0.8634110538819331,0.5473565388463831

fan
section,AUC(Source),AUC(Target),pAUC
00,0.8902,0.7006,0.6626315789473685
01,0.776,0.4856,0.5294736842105263
02,0.7398,0.7918000000000001,0.6989473684210527
arithmetic mean,0.8019999999999999,0.6593333333333333,0.6303508771929826
harmonic mean,0.7970838330933236,0.6316319714621154,0.6213077341889257

gearbox
section,AUC(Source),AUC(Target),pAUC
00,0.9698,0.9296,0.78
01,0.8360000000000001,0.7843999999999999,0.5568421052631579
02,0.7332,0.6464000000000001,0.6410526315789473
arithmetic mean,0.8463333333333334,0.7868,0.6592982456140352
harmonic mean,0.8353760522327383,0.7697002931564432,0.6468546848815748

slider
section,AUC(Source),AUC(Target),pAUC
00,0.954,0.851,0.6963157894736842
01,0.9888,0.9131999999999999,0.8663157894736842
02,0.9269999999999999,0.6828,0.6663157894736842
arithmetic mean,0.9566,0.8156666666666665,0.7429824561403509
harmonic mean,0.95593352249696,0.8032781873864325,0.7332752053632822

valve
section,AUC(Source),AUC(Target),pAUC
00,0.9758,0.8728,0.6505263157894736
01,0.9236,0.9056,0.6921052631578948
02,0.9722,0.9094,0.7752631578947369
arithmetic mean,0.9571999999999999,0.8959333333333334,0.7059649122807018
harmonic mean,0.9565976056558287,0.8956281884890042,0.7022523957823776

(A)Total Average,0.8543,0.7544,0.6417
(H)Total Average,0.8393,0.7325,0.6318
