ToyCar
section,AUC(Source),AUC(Target),pAUC
00,0.5932,0.4706000000000001,0.49526315789473685
01,0.543,0.7592,0.5510526315789473
02,0.2718,0.913,0.5252631578947369
arithmetic mean,0.4693333333333334,0.7142666666666667,0.523859649122807
harmonic mean,0.41628688730844127,0.661169686764072,0.5228626127563731

ToyTrain
section,AUC(Source),AUC(Target),pAUC
00,0.6032,0.48059999999999997,0.49
01,0.7683999999999999,0.3644,0.48526315789473684
02,0.5742,0.7585999999999999,0.5436842105263158
arithmetic mean,0.6486,0.5345333333333333,0.5063157894736842
harmonic mean,0.6381914278031728,0.4883458469744519,0.5049776612055915

bearing
section,AUC(Source),AUC(Target),pAUC
00,0.7662,0.7813999999999999,0.6473684210526316
01,0.834,0.6998,0.7057894736842105
02,0.7306000000000001,0.6861999999999999,0.6163157894736843
arithmetic mean,0.7769333333333334,0.7224666666666666,0.6564912280701755
harmonic mean,0.7746091283964094,0.7201091557471551,0.6544340757672442

fan
section,AUC(Source),AUC(Target),pAUC
00,0.594,0.2556,0.49842105263157893
01,0.8806,0.6148,0.6273684210526316
02,0.7336,0.5772,0.6694736842105263
arithmetic mean,0.7360666666666668,0.4825333333333333,0.5984210526315789
harmonic mean,0.7173203670470037,0.412574726590332,0.5889274315871723

gearbox
section,AUC(Source),AUC(Target),pAUC
00,0.8777999999999999,0.7981999999999999,0.6494736842105263
01,0.5848,0.6246000000000002,0.5778947368421052
02,0.8310000000000001,0.41419999999999996,0.5221052631578947
arithmetic mean,0.7645333333333334,0.6123333333333333,0.5831578947368422
harmonic mean,0.740271459804751,0.5694613687097031,0.5785419050429025

slider
section,AUC(Source),AUC(Target),pAUC
00,0.9694,0.727,0.6010526315789474
01,0.9211999999999999,0.9561999999999999,0.848421052631579
02,0.9078,0.4626,0.5373684210526316
arithmetic mean,0.9328,0.7152666666666666,0.662280701754386
harmonic mean,0.932061787206548,0.6545906469409009,0.6378461515280726

valve
section,AUC(Source),AUC(Target),pAUC
00,0.7014000000000001,0.25079999999999997,0.511578947368421
01,0.5892,0.6772,0.5547368421052632
02,0.9099999999999999,0.7983999999999999,0.8215789473684211
arithmetic mean,0.7335333333333333,0.5754666666666667,0.6292982456140351
harmonic mean,0.710591038086229,0.44666689514181696,0.6030687104872607

(A)Total Average,0.7231,0.6224,0.5943
(H)Total Average,0.7042,0.5647,0.5844
