ToyCar
section,AUC(Source),AUC(Target),pAUC
00,0.8826,0.4426,0.5105263157894737
01,0.6432,0.7374,0.5263157894736842
02,1.0,0.896,0.8478947368421053
arithmetic mean,0.8419333333333334,0.6920000000000001,0.6282456140350877
harmonic mean,0.8135058331732178,0.6340398329280824,0.595456125659265

ToyTrain
section,AUC(Source),AUC(Target),pAUC
00,0.8333999999999999,0.3438,0.5384210526315789
01,0.9570000000000001,0.3692,0.5389473684210526
02,0.9674,0.6328,0.6094736842105264
arithmetic mean,0.9192666666666667,0.44860000000000005,0.5622807017543859
harmonic mean,0.9150429416109784,0.41681110296359203,0.5603798884973268

bearing
section,AUC(Source),AUC(Target),pAUC
00,0.5441999999999999,0.6719999999999999,0.5110526315789473
01,0.6601999999999999,0.6666000000000001,0.5142105263157895
02,0.7598,0.6958,0.6110526315789474
arithmetic mean,0.6547333333333333,0.6781333333333333,0.545438596491228
harmonic mean,0.6426200991230303,0.6778987179120228,0.5417123350116784

fan
section,AUC(Source),AUC(Target),pAUC
00,0.749,0.3046,0.5221052631578947
01,0.8854,0.5344,0.6173684210526316
02,0.8308,0.572,0.6036842105263158
arithmetic mean,0.8217333333333333,0.4703333333333333,0.5810526315789474
harmonic mean,0.8178385565433034,0.43462492652713397,0.5778569680549075

gearbox
section,AUC(Source),AUC(Target),pAUC
00,0.7916,0.764,0.6926315789473685
01,0.33599999999999997,0.3786,0.5194736842105263
02,0.8098,0.3672,0.518421052631579
arithmetic mean,0.6457999999999999,0.5032666666666666,0.5768421052631579
harmonic mean,0.5480125125086073,0.44953772954992705,0.56628045258401

slider
section,AUC(Source),AUC(Target),pAUC
00,0.9952000000000001,0.7612,0.5763157894736842
01,0.9160000000000001,0.8158000000000001,0.6736842105263158
02,0.8866,0.5218,0.5452631578947369
arithmetic mean,0.9326000000000002,0.6995999999999999,0.598421052631579
harmonic mean,0.9303968383511818,0.6732572713930514,0.593646598046604

valve
section,AUC(Source),AUC(Target),pAUC
00,0.8348,0.14200000000000002,0.49315789473684213
01,0.5894999999999999,0.5414,0.5326315789473685
02,0.9483999999999999,0.8674,0.8610526315789473
arithmetic mean,0.7909,0.5169333333333334,0.6289473684210526
harmonic mean,0.7597529534097376,0.2987396967260817,0.5921144937683456

(A)Total Average,0.8010,0.5727,0.5887
(H)Total Average,0.7753,0.5121,0.5753
