ToyCar
section,AUC(Source),AUC(Target),pAUC
00,0.8432000000000001,0.2794,0.5142105263157895
01,0.9081999999999999,0.30700000000000005,0.5131578947368421
02,0.9702000000000001,0.4252,0.5805263157894737
arithmetic mean,0.9072,0.3372,0.5359649122807016
harmonic mean,0.9042265461635308,0.326503550622375,0.5341859885445096

ToyTrain
section,AUC(Source),AUC(Target),pAUC
00,0.7252000000000001,0.2936,0.5057894736842106
01,0.7844,0.2846,0.5073684210526316
02,0.8260000000000001,0.318,0.5394736842105263
arithmetic mean,0.7785333333333334,0.29873333333333335,0.5175438596491228
harmonic mean,0.7763084191067394,0.298081781677604,0.5170880294151585

bearing
section,AUC(Source),AUC(Target),pAUC
00,0.6716,0.4836,0.5005263157894737
01,0.7498,0.3278,0.5194736842105263
02,0.46799999999999997,0.604,0.5226315789473684
arithmetic mean,0.6298,0.4718,0.5142105263157895
harmonic mean,0.6049091209637174,0.44286362325027284,0.5140228838562728

fan
section,AUC(Source),AUC(Target),pAUC
00,0.6901999999999999,0.2536,0.578421052631579
01,0.743,0.4492,0.521578947368421
02,0.8263999999999999,0.7042,0.6357894736842105
arithmetic mean,0.7532,0.46900000000000003,0.5785964912280702
harmonic mean,0.7490976766008938,0.395285630523966,0.5748285582090935

gearbox
section,AUC(Source),AUC(Target),pAUC
00,0.6384000000000001,0.6776,0.5768421052631579
01,0.6859999999999999,0.6067999999999999,0.5336842105263158
02,0.7203999999999999,0.5690000000000001,0.578421052631579
arithmetic mean,0.6816,0.6177999999999999,0.5629824561403509
harmonic mean,0.6799237134652782,0.6145959623789772,0.562199050836581

slider
section,AUC(Source),AUC(Target),pAUC
00,0.713,0.5399999999999999,0.6042105263157895
01,0.6568,0.4992,0.54
02,0.8635999999999999,0.42500000000000004,0.581578947368421
arithmetic mean,0.7444666666666667,0.48806666666666665,0.5752631578947368
harmonic mean,0.7347535817183906,0.483247566181309,0.5740131470526949

valve
section,AUC(Source),AUC(Target),pAUC
00,0.5104,0.483,0.5247368421052632
01,0.5108,0.506,0.5031578947368421
02,0.5014000000000001,0.4488,0.5026315789473684
arithmetic mean,0.5075333333333333,0.4792666666666667,0.5101754385964913
harmonic mean,0.5074959970391153,0.4780996912218791,0.5099704626016774

(A)Total Average,0.7146,0.4517,0.5421
(H)Total Average,0.7081,0.4341,0.5409
